benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	expected_prompts	prompt_coverage	observation_coverage	f_point	f_lo	f_hi
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	4934	0.9983785974868261	0.9983785974868261	0.7524099915313123	0.7423548498252215	0.7635966011298115
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	4934	0.9965545196595055	0.9965545196595055	0.7510870410459726	0.740417132273187	0.7640463149743073
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	4934	0.8757600324280502	0.8757600324280502	0.7135206427440753	0.7004338182711372	0.7287401623214002
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	4934	0.6467369274422375	0.6467369274422375	0.6978826704397896	0.6806764638733621	0.7149150413733633
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.46310612542982055	0.4300965889713529	0.4975025482656598
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	4934	0.9925010133765707	0.9925010133765707	0.7358907941913165	0.723916905748128	0.7484101297581996
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.7240729589833674	0.7150996787173103	0.733602388150962
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.7359301729840466	0.7256981193586566	0.7459718935250027
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	4934	0.9983785974868261	0.9983785974868261	0.8030397147120812	0.7943727263514796	0.8113780460312092
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	4934	0.9965545196595055	0.9965545196595055	0.751590274673559	0.742751320149368	0.7616027344659513
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	4934	0.8757600324280502	0.8757600324280502	0.6801862895936154	0.668478131044636	0.6922642234298717
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	4934	0.6467369274422375	0.6467369274422375	0.6805817138202955	0.6670193534707061	0.695965260563244
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.4468507967474086	0.4187961568117377	0.47880649301209277
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	4934	0.9925010133765707	0.9925010133765707	0.730002143035432	0.7189294006141026	0.7401861484094049
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.8583954471793169	0.8513931179048981	0.865541441644388
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	4934	0.9983785974868261	0.9983785974868261	0.8110953852823028	0.8037487864348072	0.8184307615491955
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	4934	0.9965545196595055	0.9965545196595055	0.8339702088399715	0.8249997184246947	0.8430980373123935
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	4934	0.8757600324280502	0.8757600324280502	0.8077657881633216	0.796899752153949	0.8187481590837149
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	4934	0.6467369274422375	0.6467369274422375	0.7836008695374795	0.771340883429389	0.7960060841903078
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.6137577593531274	0.5854715218190021	0.6414156076332961
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	4934	0.9925010133765707	0.9925010133765707	0.8119980064919959	0.8039982433661957	0.8207384510829692
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	4934	0.9983785974868261	0.9983785974868261	0.8698060874884628	0.8648066659429003	0.874906928642344
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	4934	0.9965545196595055	0.9965545196595055	0.8870170438683658	0.8809813342526114	0.8928864266995076
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	4934	0.8757600324280502	0.8757600324280502	0.8541412316331368	0.8458545707331863	0.8619679399637545
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	4934	0.6467369274422375	0.6467369274422375	0.8652929427048464	0.8576883665128684	0.873909381685867
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.7224815192091348	0.6987990950160478	0.7459119017916943
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	4934	0.9925010133765707	0.9925010133765707	0.8530096350004536	0.8460167923052968	0.8599674365957628
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4911	4911	4934	0.9953384677746251	0.9953384677746251	0.9409093012734143	0.9387623737393457	0.9430720992867606
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4316	4316	4934	0.8747466558573166	0.8747466558573166	0.8266858420994793	0.8199890254106734	0.8332265255796274
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3185	3185	4934	0.6455208755573572	0.6455208755573572	0.835538971638896	0.8284391637446425	0.8436025413943319
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1020	1020	4934	0.20672882042967167	0.20672882042967167	0.6720352321326887	0.6488318485785853	0.6929627963314414
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4889	4889	4934	0.9908796108633968	0.9908796108633968	0.8584521060828325	0.852122401180391	0.8648148591537056
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4309	4309	4934	0.8733279286582895	0.8733279286582895	0.8644202324434411	0.8557209315594684	0.8724795440745999
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3183	3183	4934	0.6451155249290637	0.6451155249290637	0.8653426686028672	0.8561498878672406	0.8742412941418024
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.6599019682566095	0.6335975276640305	0.6883543381549131
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4880	4880	4934	0.9890555330360762	0.9890555330360762	0.8507896947965536	0.8434317195334577	0.85780994562055
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	2822	2822	4934	0.5719497365220916	0.5719497365220916	0.835642423252925	0.8247827206503741	0.8469819906422497
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	973	973	4934	0.19720308066477504	0.19720308066477504	0.6523758949426075	0.6261282442218988	0.6785007233880875
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4288	4288	4934	0.8690717470612079	0.8690717470612079	0.8058655388343544	0.7961260373779361	0.8154404081210079
race	sentence	user	all_pairs	row_pooled	gpt-4o	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	871	871	4934	0.17653019862180785	0.17653019862180785	0.8200666870428401	0.8048662285968261	0.8361662323682675
race	sentence	user	all_pairs	row_pooled	gpt-4o	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	3161	3161	4934	0.6406566680178354	0.6406566680178354	0.808950684865938	0.7985131920394556	0.8201516009635639
race	sentence	user	all_pairs	row_pooled	gpt-4-1	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	1005	1005	4934	0.20368869071747062	0.20368869071747062	0.6023241013431342	0.5741641435327163	0.6333439236436074
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.08126073347869889	0.07575427908665486	0.08729696039345722
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.16165925659314556	0.15197478154838803	0.17147625018232554
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.10992619087109443	0.10372916356685848	0.11743717416536553
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.0645760633197957	0.059246194129635166	0.0697915624075116
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130273	4926	4934	0.9983785974868261	0.9964127824264583	0.11458427302652802	0.10623380433672046	0.12300983986318417
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129763	4917	4934	0.9965545196595055	0.9925119701396644	0.11679129232272745	0.10962397915483592	0.12464023681160095
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	110004	4321	4934	0.8757600324280502	0.8413822643068027	0.061668558859073824	0.0559883918612337	0.06740532043606993
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72614	3191	4934	0.6467369274422375	0.5553991831240153	0.07786348050694486	0.07051086502643471	0.08539596060381126
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23340	1021	4934	0.20693149574381842	0.1785195270073886	0.042347067286918914	0.03446907546873975	0.05138667025696788
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	128358	4897	4934	0.9925010133765707	0.9817656147221245	0.06795105231863226	0.06265790368767282	0.07353814423006022
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.36187607873886174	0.3544715883146653	0.37021482769980135
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.42132540742370256	0.4118498301566123	0.4312657373785664
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.405894363905284	0.3959537567655321	0.4162408379025512
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130273	4926	4934	0.9983785974868261	0.9964127824264583	0.38103671465640954	0.3713541467352898	0.390405714588905
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129763	4917	4934	0.9965545196595055	0.9925119701396644	0.38037651700701774	0.3699479843287284	0.39069201004495446
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	110004	4321	4934	0.8757600324280502	0.8413822643068027	0.3011205434379395	0.2917275855592806	0.31121920846092394
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72614	3191	4934	0.6467369274422375	0.5553991831240153	0.2898506892729703	0.27784685902408063	0.3011507720474136
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23340	1021	4934	0.20693149574381842	0.1785195270073886	0.1711093913605247	0.15441599638255468	0.18981996306925739
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	128358	4897	4934	0.9925010133765707	0.9817656147221245	0.2728372397248256	0.2616950376462976	0.2835518048270196
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.4883090817859173	0.4789433856024724	0.4982698979162624
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.44016276006386934	0.43130761924992644	0.44840810847594104
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130273	4926	4934	0.9983785974868261	0.9964127824264583	0.5955885357457633	0.5869920374370294	0.6046206113574997
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129763	4917	4934	0.9965545196595055	0.9925119701396644	0.5339202984292843	0.5243525609117589	0.5431687378508246
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	110004	4321	4934	0.8757600324280502	0.8413822643068027	0.36571219215340806	0.35608185867291686	0.37565236302424787
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72614	3191	4934	0.6467369274422375	0.5553991831240153	0.3881094786028084	0.37641260677671806	0.4006534523184802
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23340	1021	4934	0.20693149574381842	0.1785195270073886	0.2204040441542579	0.20193888352752962	0.23903114074051268
race	sentence	user	all_pairs	row_pooled	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	128358	4897	4934	0.9925010133765707	0.9817656147221245	0.3665520226643615	0.3534828402749835	0.37961828513849943
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130742	4934	4934	1.0	1.0	0.6004003883363219	0.5912054364952533	0.6090035599166232
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130273	4926	4934	0.9983785974868261	0.9964127824264583	0.5918993392920769	0.5837731459672336	0.6001184375031915
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129763	4917	4934	0.9965545196595055	0.9925119701396644	0.6023923850156913	0.5930738734542611	0.6122496473144987
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	110004	4321	4934	0.8757600324280502	0.8413822643068027	0.4877778650508772	0.476615372365586	0.499511186710428
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72614	3191	4934	0.6467369274422375	0.5553991831240153	0.4554283041865114	0.44349557341859125	0.46785423083209515
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23340	1021	4934	0.20693149574381842	0.1785195270073886	0.3222734707232009	0.3009343160257519	0.34249431521460066
race	sentence	user	all_pairs	row_pooled	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	128358	4897	4934	0.9925010133765707	0.9817656147221245	0.41751874566737524	0.40331059926860435	0.4327338936208305
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	130273	4926	4934	0.9983785974868261	0.9964127824264583	0.6074018768273004	0.6008546248786234	0.6139492824879478
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129763	4917	4934	0.9965545196595055	0.9925119701396644	0.6090016361339712	0.6017350246508324	0.616861205278667
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	110004	4321	4934	0.8757600324280502	0.8413822643068027	0.5248230820935806	0.51563935490282	0.5340142037668462
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72614	3191	4934	0.6467369274422375	0.5553991831240153	0.47573567161280655	0.4658514360190216	0.4851713962656175
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23340	1021	4934	0.20693149574381842	0.1785195270073886	0.37318914869180686	0.35635786306760786	0.393240953643101
race	sentence	user	all_pairs	row_pooled	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	128358	4897	4934	0.9925010133765707	0.9817656147221245	0.4306436769047027	0.4177376391898194	0.4444059783596018
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	129482	4911	4934	0.9953384677746251	0.9903626990561564	0.8488292223260572	0.8454324819376352	0.8517952865807306
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	109723	4316	4934	0.8747466558573166	0.8392329932232947	0.5519906800253372	0.544109489870032	0.5601130398845056
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72314	3185	4934	0.6455208755573572	0.5531045876611953	0.5479032316462273	0.5387361392392068	0.5578526348211836
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23307	1020	4934	0.20672882042967167	0.17826712150647842	0.3809724048351004	0.3630612782659887	0.39992498185783204
race	sentence	user	all_pairs	row_pooled	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	127914	4889	4934	0.9908796108633968	0.978369613437151	0.48240574435189293	0.4668072570153516	0.4968926223056859
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	130742	109334	4309	4934	0.8733279286582895	0.8362576677731716	0.5820152665184832	0.5728072046901885	0.5922367013783852
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	72107	3183	4934	0.6451155249290637	0.5515213167918496	0.5524814637959776	0.540576528168348	0.563878257515827
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	23287	1021	4934	0.20693149574381842	0.17811414847562373	0.37012873006483	0.34953762659910464	0.3911071383647735
race	sentence	user	all_pairs	row_pooled	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	127416	4880	4934	0.9890555330360762	0.97456058496887	0.4547821815581994	0.4388585435294201	0.46882140802172956
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	130742	62370	2822	4934	0.5719497365220916	0.4770463967202582	0.42569426457973036	0.41343061679472176	0.4381470312580263
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	21855	973	4934	0.19720308066477504	0.16716127946643006	0.3015460393500602	0.28264889133373494	0.32130838021038616
race	sentence	user	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	107964	4288	4934	0.8690717470612079	0.8257790151596274	0.36372509393519714	0.34843754190383464	0.3784669162621746
race	sentence	user	all_pairs	row_pooled	gpt-4o	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	130742	19488	871	4934	0.17653019862180785	0.149056921264781	0.4362962009618225	0.41843150629613535	0.4562887401520394
race	sentence	user	all_pairs	row_pooled	gpt-4o	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	70921	3161	4934	0.6406566680178354	0.5424500160621682	0.3639841861673756	0.34598957184859963	0.38254845634217094
race	sentence	user	all_pairs	row_pooled	gpt-4-1	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	130742	22507	1005	4934	0.20368869071747062	0.172148200272292	0.16412611316124795	0.1425582631828375	0.18697245144909666
race	sentence	user	anchor_a	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.22211383678584154	0.20436032442698013	0.23965380491168428
